"filename","approved_path","sha256","bytes","width","height","category","approval_status","review_notes"
"adhexyl_series_card.webp","/public/images/core/adhexyl_series_card.webp","992089F8B923FB9574A2F1B5BC12DC104E4EE9B74485BE6714F82D089B7075E0","103208","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"ai_research_laboratory.webp","/public/images/core/ai_research_laboratory.webp","89A8F0EEC044857A54F3524E3BFDAF751762C2A93CE3BEBE16E8B70A5E82C099","194254","","","service","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"amberxyl_series_card.webp","/public/images/core/amberxyl_series_card.webp","502E441B4C1507E8EB45EC1537500C0A36C84C4F1B79277DB5F3145C835C212F","212830","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"biosustainability_pillar.webp","/public/images/core/biosustainability_pillar.webp","B9FD30B58EFA19F4F5F037A5542BBE36BAD9796B76B3CBC10829CC482EE26E17","94162","","","service","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"coalezol_series_card.webp","/public/images/core/coalezol_series_card.webp","791FF2724B55832B388FD006238F71847E9D2FF30A788875F95DE70ECCDCD416","101758","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"cognichem_lab_header.webp","/public/images/core/cognichem_lab_header.webp","2AD09E56150531DBA4B99693A8C3A455ADAF14E5A79CC61A15DDB76C831F9577","140420","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"corroguard_comparison.webp","/public/images/core/corroguard_comparison.webp","7A4EF22330DB498828AE4E3D5648587DC6C146044291E23A7DE9FC1C5DA2CCCC","273810","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"corroguard_tech_icon.webp","/public/images/core/corroguard_tech_icon.webp","D2200F77D097949BB6923D8E7CEE1E1A61A937650B2E752377B93AF182B6CAB3","56990","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"emulsacore_tech_icon.webp","/public/images/core/emulsacore_tech_icon.webp","701B19385F36682A19718A6A6F5C0A8146430C0D3DEE711FC0FB12DCD49833A4","33412","","","technology","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"ferraxyl_landing_header.webp","/public/images/core/ferraxyl_landing_header.webp","8ECB63006ACB364AA5D0E03681B413FF65DB954481E3CAC097E92361B016B056","104810","","","hero","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"ferrazol_series_card.webp","/public/images/core/ferrazol_series_card.webp","47DC5E3846E3753659F0DCF9EAA5B4957B136C4FC597BE82E024AEBCB6FF1428","92812","","","series-card","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"gated_portal_login.webp","/public/images/core/gated_portal_login.webp","A041A84F40D590FC1409DF7EDA42FA04D1D02C812FF45E125902AE74B0D7F00F","73438","","","general","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
"global_infrastructure_map.webp","/public/images/core/global_infrastructure_map.webp","8A21A77708C35F920E3C5B950E8D5A6F4D9C290A7D3FA1D82DA3523822B73667","251338","","","general","approved-core","Generated from pro4chem-dev public images core for V2.2 G3 asset review."
